datetime,voltage,battery_temp,battery_soc
2023-04-22 12:37:15.624806,8106.666666666665,-3.0,85.29,
2023-04-22 12:38:15.602833,8106.666666666665,-3.0,85.29,
2023-04-22 12:39:15.608247,8106.666666666665,-3.0,85.29,
2023-04-22 12:40:15.668056,8106.666666666665,-4.0,85.29,
2023-04-22 12:41:15.609234,8106.666666666665,-4.0,85.29,
2023-04-22 12:42:15.639138,8106.666666666665,-4.0,85.29,
2023-04-22 13:05:15.701037,8146.666666666666,-6.0,85.29,
2023-04-22 13:07:15.711879,8133.333333333333,-6.0,85.29,
2023-04-22 13:08:15.693145,8146.666666666666,-6.0,85.29,
2023-04-22 13:10:15.754136,8160.0,-6.0,85.29,
2023-04-22 13:11:15.688021,8146.666666666666,-6.0,85.29,
2023-04-22 13:29:15.737161,8160.0,-2.0,85.29,
2023-04-22 13:30:15.767672,8360.0,-1.0,85.29,
2023-04-22 13:51:15.826494,8133.333333333333,2.0,91.17,
2023-04-22 13:52:15.781935,8133.333333333333,2.0,91.17,
2023-04-22 13:53:15.800756,8133.333333333333,2.0,91.17,
2023-04-22 13:54:15.785128,8133.333333333333,2.0,91.17,
2023-04-22 13:55:15.802657,8133.333333333333,2.0,91.17,
2023-04-22 13:57:16.112301,8133.333333333333,1.0,91.17,
2023-04-22 13:58:16.287359,8120.000000000001,1.0,91.17,
2023-04-22 13:59:16.724403,8120.000000000001,1.0,91.17,
2023-04-22 14:10:17.157243,8106.666666666665,-2.0,85.29,
2023-04-22 14:11:17.161608,8106.666666666665,-3.0,85.29,
2023-04-22 14:13:17.181297,8106.666666666665,-3.0,85.29,
2023-04-22 14:41:17.420237,8146.666666666666,-7.0,85.29,
2023-04-22 14:42:17.375931,8146.666666666666,-7.0,85.29,
2023-04-22 17:07:14.079158,8120.000000000001,1.0,91.17,
2023-04-22 14:43:17.448677,8146.666666666666,-7.0,85.29,
2023-04-22 14:44:17.414865,8146.666666666666,-5.0,85.29,
2023-04-22 14:48:17.415168,8346.666666666668,-6.0,85.29,
2023-04-22 14:49:17.448216,8160.0,-6.0,85.29,
2023-04-22 14:51:17.441248,8173.333333333334,-5.0,85.29,
2023-04-22 14:52:17.442108,8346.666666666668,-5.0,85.29,
2023-04-22 14:53:17.464167,8160.0,-5.0,85.29,
2023-04-22 14:54:17.456125,8160.0,-4.0,85.29,
2023-04-22 14:56:17.764201,8160.0,-4.0,85.29,
2023-04-22 14:57:17.774627,8160.0,-4.0,85.29,
2023-04-22 14:58:17.740173,8160.0,-4.0,85.29,
